nohup: ignoring input
2021-01-18 21:31:05,001INFO	init dataset...
2021-01-18 22:04:41,645INFO	epcoh:[2][100/782]	loss:0.20449(0.18164)	
2021-01-18 22:04:48,737INFO	epcoh:[2][110/782]	loss:0.21342(0.18215)	
2021-01-18 22:04:54,580INFO	epcoh:[2][120/782]	loss:0.19936(0.18227)	
2021-01-18 22:04:59,224INFO	epcoh:[2][130/782]	loss:0.18513(0.18190)	
2021-01-18 22:05:03,683INFO	epcoh:[2][140/782]	loss:0.18639(0.18161)	
2021-01-18 22:05:08,271INFO	epcoh:[2][150/782]	loss:0.21574(0.18208)	
2021-01-18 22:05:13,219INFO	epcoh:[2][160/782]	loss:0.20577(0.18200)	
2021-01-18 22:05:18,083INFO	epcoh:[2][170/782]	loss:0.15516(0.18128)	
2021-01-18 22:05:22,965INFO	epcoh:[2][180/782]	loss:0.18591(0.18119)	
2021-01-18 22:05:27,639INFO	epcoh:[2][190/782]	loss:0.21070(0.18120)	
2021-01-18 22:05:32,883INFO	epcoh:[2][200/782]	loss:0.18034(0.18112)	
2021-01-18 22:05:38,657INFO	epcoh:[2][210/782]	loss:0.18135(0.18083)	
2021-01-18 22:05:44,571INFO	epcoh:[2][220/782]	loss:0.18905(0.18073)	
2021-01-18 22:05:50,562INFO	epcoh:[2][230/782]	loss:0.18979(0.18062)	
2021-01-18 22:05:56,443INFO	epcoh:[2][240/782]	loss:0.16659(0.18074)	
2021-01-18 22:06:01,951INFO	epcoh:[2][250/782]	loss:0.16581(0.18068)	
2021-01-18 22:06:07,691INFO	epcoh:[2][260/782]	loss:0.16839(0.18099)	
2021-01-18 22:06:13,560INFO	epcoh:[2][270/782]	loss:0.19399(0.18117)	
2021-01-18 22:06:19,181INFO	epcoh:[2][280/782]	loss:0.20070(0.18139)	
2021-01-18 22:06:25,288INFO	epcoh:[2][290/782]	loss:0.18417(0.18146)	
2021-01-18 22:06:30,774INFO	epcoh:[2][300/782]	loss:0.18072(0.18140)	
2021-01-18 22:06:40,598INFO	epcoh:[2][310/782]	loss:0.16263(0.18137)	
2021-01-18 22:06:46,127INFO	epcoh:[2][320/782]	loss:0.17045(0.18130)	
2021-01-18 22:06:52,182INFO	epcoh:[2][330/782]	loss:0.17449(0.18123)	
2021-01-18 22:06:58,325INFO	epcoh:[2][340/782]	loss:0.17686(0.18125)	
2021-01-18 22:07:04,244INFO	epcoh:[2][350/782]	loss:0.16311(0.18101)	
2021-01-18 22:07:10,084INFO	epcoh:[2][360/782]	loss:0.17765(0.18092)	
2021-01-18 22:07:15,520INFO	epcoh:[2][370/782]	loss:0.19526(0.18100)	
2021-01-18 22:07:20,850INFO	epcoh:[2][380/782]	loss:0.18772(0.18135)	
2021-01-18 22:07:26,274INFO	epcoh:[2][390/782]	loss:0.18377(0.18131)	
2021-01-18 22:07:31,892INFO	epcoh:[2][400/782]	loss:0.18956(0.18120)	
2021-01-18 22:07:37,000INFO	epcoh:[2][410/782]	loss:0.16251(0.18108)	
2021-01-18 22:07:41,768INFO	epcoh:[2][420/782]	loss:0.21200(0.18105)	
2021-01-18 22:07:46,543INFO	epcoh:[2][430/782]	loss:0.20985(0.18107)	
2021-01-18 22:07:51,303INFO	epcoh:[2][440/782]	loss:0.17040(0.18110)	
2021-01-18 22:07:55,957INFO	epcoh:[2][450/782]	loss:0.21118(0.18118)	
2021-01-18 22:08:00,861INFO	epcoh:[2][460/782]	loss:0.17872(0.18112)	
2021-01-18 22:08:05,467INFO	epcoh:[2][470/782]	loss:0.15774(0.18095)	
2021-01-18 22:08:10,306INFO	epcoh:[2][480/782]	loss:0.19724(0.18095)	
2021-01-18 22:08:15,999INFO	epcoh:[2][490/782]	loss:0.21821(0.18091)	
2021-01-18 22:08:21,902INFO	epcoh:[2][500/782]	loss:0.17678(0.18108)	
2021-01-18 22:08:27,338INFO	epcoh:[2][510/782]	loss:0.17574(0.18111)	
2021-01-18 22:08:33,242INFO	epcoh:[2][520/782]	loss:0.15661(0.18100)	
2021-01-18 22:08:38,852INFO	epcoh:[2][530/782]	loss:0.17954(0.18105)	
2021-01-18 22:08:44,044INFO	epcoh:[2][540/782]	loss:0.21260(0.18105)	
2021-01-18 22:08:49,772INFO	epcoh:[2][550/782]	loss:0.21940(0.18116)	
2021-01-18 22:08:55,877INFO	epcoh:[2][560/782]	loss:0.17305(0.18123)	
2021-01-18 22:09:01,667INFO	epcoh:[2][570/782]	loss:0.16502(0.18122)	
2021-01-18 22:09:06,902INFO	epcoh:[2][580/782]	loss:0.15991(0.18084)	
2021-01-18 22:09:12,597INFO	epcoh:[2][590/782]	loss:0.17163(0.18079)	
2021-01-18 22:09:18,362INFO	epcoh:[2][600/782]	loss:0.17918(0.18072)	
2021-01-18 22:09:24,205INFO	epcoh:[2][610/782]	loss:0.19904(0.18081)	
2021-01-18 22:09:29,858INFO	epcoh:[2][620/782]	loss:0.18362(0.18079)	
2021-01-18 22:09:35,264INFO	epcoh:[2][630/782]	loss:0.18710(0.18072)	
2021-01-18 22:09:41,142INFO	epcoh:[2][640/782]	loss:0.19812(0.18072)	
2021-01-18 22:09:46,671INFO	epcoh:[2][650/782]	loss:0.16602(0.18053)	
2021-01-18 22:09:53,230INFO	epcoh:[2][660/782]	loss:0.16399(0.18052)	
2021-01-18 22:09:58,896INFO	epcoh:[2][670/782]	loss:0.18664(0.18049)	
2021-01-18 22:10:04,177INFO	epcoh:[2][680/782]	loss:0.16925(0.18054)	
2021-01-18 22:10:09,088INFO	epcoh:[2][690/782]	loss:0.17351(0.18041)	
2021-01-18 22:10:13,888INFO	epcoh:[2][700/782]	loss:0.18531(0.18022)	
2021-01-18 22:10:18,515INFO	epcoh:[2][710/782]	loss:0.16023(0.18028)	
2021-01-18 22:10:23,107INFO	epcoh:[2][720/782]	loss:0.17292(0.18030)	
2021-01-18 22:10:27,859INFO	epcoh:[2][730/782]	loss:0.15762(0.18042)	
2021-01-18 22:10:32,329INFO	epcoh:[2][740/782]	loss:0.17275(0.18041)	
2021-01-18 22:10:37,071INFO	epcoh:[2][750/782]	loss:0.21010(0.18053)	
2021-01-18 22:10:42,279INFO	epcoh:[2][760/782]	loss:0.14588(0.18044)	
2021-01-18 22:10:47,879INFO	epcoh:[2][770/782]	loss:0.18142(0.18063)	
2021-01-18 22:10:53,024INFO	epcoh:[2][780/782]	loss:0.20938(0.18074)	
2021-01-18 22:19:37,341INFO	epcoh:[3][0/782]	loss:0.21213(0.21213)	
2021-01-18 22:19:42,259INFO	epcoh:[3][10/782]	loss:0.16616(0.18029)	
2021-01-18 22:19:48,290INFO	epcoh:[3][20/782]	loss:0.17379(0.17803)	
2021-01-18 22:19:54,622INFO	epcoh:[3][30/782]	loss:0.17856(0.17706)	
2021-01-18 22:20:00,331INFO	epcoh:[3][40/782]	loss:0.17095(0.17553)	
2021-01-18 22:20:06,132INFO	epcoh:[3][50/782]	loss:0.20386(0.17545)	
2021-01-18 22:20:12,038INFO	epcoh:[3][60/782]	loss:0.15153(0.17654)	
2021-01-18 22:20:18,464INFO	epcoh:[3][70/782]	loss:0.19731(0.17649)	
2021-01-18 22:20:24,154INFO	epcoh:[3][80/782]	loss:0.16819(0.17585)	
2021-01-18 22:20:30,425INFO	epcoh:[3][90/782]	loss:0.17022(0.17558)	
2021-01-18 22:20:36,469INFO	epcoh:[3][100/782]	loss:0.20077(0.17625)	
2021-01-18 22:20:41,263INFO	epcoh:[3][110/782]	loss:0.20135(0.17675)	
2021-01-18 22:20:45,825INFO	epcoh:[3][120/782]	loss:0.18829(0.17716)	
2021-01-18 22:20:50,724INFO	epcoh:[3][130/782]	loss:0.18231(0.17673)	
2021-01-18 22:20:54,798INFO	epcoh:[3][140/782]	loss:0.18754(0.17657)	
2021-01-18 22:20:59,595INFO	epcoh:[3][150/782]	loss:0.20878(0.17706)	
2021-01-18 22:21:04,358INFO	epcoh:[3][160/782]	loss:0.20711(0.17701)	
2021-01-18 22:21:08,828INFO	epcoh:[3][170/782]	loss:0.15366(0.17618)	
2021-01-18 22:21:13,532INFO	epcoh:[3][180/782]	loss:0.17923(0.17623)	
2021-01-18 22:21:19,410INFO	epcoh:[3][190/782]	loss:0.19622(0.17630)	
2021-01-18 22:21:25,479INFO	epcoh:[3][200/782]	loss:0.17785(0.17630)	
2021-01-18 22:21:30,842INFO	epcoh:[3][210/782]	loss:0.17499(0.17609)	
2021-01-18 22:21:36,691INFO	epcoh:[3][220/782]	loss:0.19223(0.17608)	
2021-01-18 22:21:42,528INFO	epcoh:[3][230/782]	loss:0.17767(0.17597)	
2021-01-18 22:21:47,957INFO	epcoh:[3][240/782]	loss:0.16369(0.17617)	
2021-01-18 22:21:53,638INFO	epcoh:[3][250/782]	loss:0.15478(0.17608)	
2021-01-18 22:21:59,074INFO	epcoh:[3][260/782]	loss:0.16078(0.17622)	
2021-01-18 22:22:04,720INFO	epcoh:[3][270/782]	loss:0.19397(0.17644)	
2021-01-18 22:22:11,220INFO	epcoh:[3][280/782]	loss:0.19632(0.17652)	
2021-01-18 22:22:17,128INFO	epcoh:[3][290/782]	loss:0.17594(0.17663)	
2021-01-18 22:22:22,992INFO	epcoh:[3][300/782]	loss:0.17256(0.17664)	
2021-01-18 22:22:28,222INFO	epcoh:[3][310/782]	loss:0.15945(0.17667)	
2021-01-18 22:22:33,961INFO	epcoh:[3][320/782]	loss:0.16790(0.17662)	
2021-01-18 22:22:39,647INFO	epcoh:[3][330/782]	loss:0.16729(0.17649)	
2021-01-18 22:22:45,129INFO	epcoh:[3][340/782]	loss:0.17887(0.17660)	
2021-01-18 22:22:50,549INFO	epcoh:[3][350/782]	loss:0.16530(0.17638)	
2021-01-18 22:22:56,611INFO	epcoh:[3][360/782]	loss:0.17019(0.17624)	
2021-01-18 22:23:02,195INFO	epcoh:[3][370/782]	loss:0.18517(0.17616)	
2021-01-18 22:23:07,408INFO	epcoh:[3][380/782]	loss:0.18526(0.17654)	
2021-01-18 22:23:12,900INFO	epcoh:[3][390/782]	loss:0.17481(0.17654)	
2021-01-18 22:23:18,600INFO	epcoh:[3][400/782]	loss:0.18730(0.17646)	
2021-01-18 22:23:24,056INFO	epcoh:[3][410/782]	loss:0.16065(0.17636)	
2021-01-18 22:23:32,210INFO	epcoh:[3][420/782]	loss:0.20963(0.17635)	
2021-01-18 22:23:37,202INFO	epcoh:[3][430/782]	loss:0.20794(0.17641)	
2021-01-18 22:23:41,811INFO	epcoh:[3][440/782]	loss:0.16308(0.17650)	
2021-01-18 22:23:46,524INFO	epcoh:[3][450/782]	loss:0.20272(0.17665)	
2021-01-18 22:23:51,346INFO	epcoh:[3][460/782]	loss:0.17532(0.17665)	
2021-01-18 22:23:55,963INFO	epcoh:[3][470/782]	loss:0.15171(0.17645)	
2021-01-18 22:24:00,760INFO	epcoh:[3][480/782]	loss:0.18967(0.17647)	
2021-01-18 22:24:05,984INFO	epcoh:[3][490/782]	loss:0.20386(0.17644)	
2021-01-18 22:24:11,877INFO	epcoh:[3][500/782]	loss:0.17922(0.17655)	
2021-01-18 22:24:17,563INFO	epcoh:[3][510/782]	loss:0.17151(0.17654)	
2021-01-18 22:24:23,353INFO	epcoh:[3][520/782]	loss:0.15210(0.17639)	
2021-01-18 22:24:29,301INFO	epcoh:[3][530/782]	loss:0.17508(0.17644)	
2021-01-18 22:24:34,559INFO	epcoh:[3][540/782]	loss:0.21274(0.17647)	
2021-01-18 22:24:40,450INFO	epcoh:[3][550/782]	loss:0.22139(0.17667)	
2021-01-18 22:24:45,975INFO	epcoh:[3][560/782]	loss:0.17375(0.17680)	
2021-01-18 22:24:51,961INFO	epcoh:[3][570/782]	loss:0.15974(0.17680)	
2021-01-18 22:24:57,372INFO	epcoh:[3][580/782]	loss:0.15651(0.17643)	
2021-01-18 22:25:02,988INFO	epcoh:[3][590/782]	loss:0.16238(0.17632)	
2021-01-18 22:25:08,485INFO	epcoh:[3][600/782]	loss:0.17683(0.17624)	
2021-01-18 22:25:13,987INFO	epcoh:[3][610/782]	loss:0.18930(0.17632)	
2021-01-18 22:25:20,220INFO	epcoh:[3][620/782]	loss:0.17511(0.17625)	
2021-01-18 22:25:27,089INFO	epcoh:[3][630/782]	loss:0.18003(0.17614)	
